GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aviao,org.example.facade,PassengerFacade,52,0,4,0,10,0,5,0,3,0
aviao,org.example.services,PassengerService,7,123,5,11,0,17,5,6,0,3
aviao,org.example.entities,Passenger,27,0,0,0,10,0,5,0,5,0
aviao,org.example.repositories,PassengerRepository,17,0,0,0,5,0,3,0,3,0
aviao,org.example,App,105,0,9,0,23,0,7,0,2,0
